Symbol,Company_Name,Sector,Data_Exising,History_Existing,IPO_Year,Country,Industry
BHC,Bausch Health Companies Inc. Common Stock,Health Care,True,6225.0,,Canada,Biotechnology: Pharmaceutical Preparations
BHE,Benchmark Electronics Inc. Common Stock,Technology,True,6225.0,,United States,Electrical Products
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Energy,True,6225.0,,Australia,Coal Mining
BIIB,Biogen Inc. Common Stock,Health Care,True,6225.0,,United States,Biotechnology: Biological Products (No Diagnostic Substances)
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Industrials,True,6225.0,1980.0,United States,Biotechnology: Laboratory Analytical Instruments
BJRI,BJ's Restaurants Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Restaurants
BK,The Bank of New York Mellon Corporation Common Stock,Finance,True,6225.0,,United States,Major Banks
BKE,Buckle Inc. (The) Common Stock,Consumer Discretionary,True,6225.0,,United States,Clothing/Shoe/Accessory Stores
BKH,Black Hills Corporation Common Stock,Utilities,True,6225.0,,United States,Electric Utilities: Central
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),Finance,True,6225.0,1993.0,United States,Trusts Except Educational Religious and Charitable
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Transportation Services
BKR,Baker Hughes Company Class A Common Stock,Industrials,True,6225.0,,United States,Metal Fabrications
BKT,BlackRock Income Trust Inc. (The),Finance,True,6225.0,,United States,Investment Bankers/Brokers/Service
BKTI,BK Technologies Corporation Common Stock,Technology,True,6225.0,,United States,Radio And Television Broadcasting And Communications Equipment
BKYI,BIO-key International Inc. Common Stock,Technology,True,6225.0,,United States,Computer Software: Prepackaged Software
BLDP,Ballard Power Systems Inc. Common Shares,Energy,True,6225.0,,Canada,Industrial Machinery/Components
BLFS,BioLife Solutions Inc. Common Stock,Health Care,True,6225.0,,United States,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLK,BlackRock Inc. Common Stock,Finance,True,6225.0,1999.0,United States,Investment Bankers/Brokers/Service
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Finance,True,6225.0,1992.0,Panama,Commercial Banks
BMI,Badger Meter Inc. Common Stock,Industrials,True,6225.0,1971.0,United States,Industrial Machinery/Components
BMO,Bank Of Montreal Common Stock,Finance,True,6225.0,,Canada,Commercial Banks
BMRA,Biomerica Inc. Common Stock,Health Care,True,6225.0,,United States,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BMRC,Bank of Marin Bancorp Common Stock,Finance,True,6225.0,,United States,Major Banks
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care,True,6225.0,1999.0,United States,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,Health Care,True,6225.0,,United States,Biotechnology: Pharmaceutical Preparations
BN,Brookfield Corporation Class A Limited Voting Shares,Real Estate,True,6225.0,1925.0,Canada,Building operators
BOH,Bank of Hawaii Corporation Common Stock,Finance,True,6225.0,,United States,Major Banks
BOKF,BOK Financial Corporation Common Stock,Finance,True,6225.0,,United States,Major Banks
BOOM,DMC Global Inc. Common Stock,Industrials,True,6225.0,,United States,Industrial Specialties
BOSC,B.O.S. Better Online Solutions Common Stock,Telecommunications,True,6225.0,,Israel,Computer Communications Equipment
BP,BP p.l.c. Common Stock,Energy,True,6225.0,,United Kingdom,Integrated oil Companies
BPOP,Popular Inc. Common Stock,Finance,True,6225.0,,United States,Major Banks
BPT,BP Prudhoe Bay Royalty Trust Common Stock,Energy,True,6225.0,,United States,Integrated oil Companies
BRC,Brady Corporation Common Stock,Consumer Discretionary,True,6225.0,,United States,Miscellaneous manufacturing industries
BRID,Bridgford Foods Corporation Common Stock,Consumer Staples,True,6225.0,,United States,Specialty Foods
BRKL,Brookline Bancorp Inc. Common Stock,Finance,True,6225.0,,United States,Savings Institutions
BRN,Barnwell Industries Inc. Common Stock,Energy,True,6225.0,1965.0,United States,Oil & Gas Production
BRO,Brown & Brown Inc. Common Stock,Finance,True,6225.0,,United States,Specialty Insurers
BRT,BRT Apartments Corp. (MD) Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
BRW,Saba Capital Income & Opportunities Fund SBI,Finance,True,6225.0,,United States,Trusts Except Educational Religious and Charitable
BSAC,Banco Santander - Chile ADS,Finance,True,6225.0,,Chile,Commercial Banks
BSET,Bassett Furniture Industries Incorporated Common Stock,Consumer Discretionary,True,6225.0,,United States,Home Furnishings
BSRR,Sierra Bancorp Common Stock,Finance,True,6225.0,,United States,Major Banks
BSX,Boston Scientific Corporation Common Stock,Health Care,True,6225.0,,United States,Medical/Dental Instruments
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Health Care,True,6225.0,1998.0,United Kingdom, Medicinal Chemicals and Botanical Products 
BTO,John Hancock Financial Opportunities Fund Common Stock,Finance,True,6225.0,1994.0,United States,Investment Managers
BUSE,First Busey Corporation Class A Common Stock,Finance,True,6225.0,,United States,Major Banks
BVN,Buenaventura Mining Company Inc.,Basic Materials,True,6225.0,1996.0,Peru,Metal Mining
BWA,BorgWarner Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Auto Parts:O.E.M.
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
BXP,BXP Inc. Common Stock,Real Estate,True,6225.0,1997.0,United States,Real Estate Investment Trusts
BYD,Boyd Gaming Corporation Common Stock,Consumer Discretionary,True,6225.0,1993.0,United States,Hotels/Resorts
BYFC,Broadway Financial Corporation Class A Common Stock,Finance,True,6225.0,,United States,Savings Institutions
BZH,Beazer Homes USA Inc. Common Stock,Consumer Discretionary,True,6225.0,1994.0,United States,Homebuilding
C,Citigroup Inc. Common Stock,Finance,True,6225.0,,United States,Major Banks
CAC,Camden National Corporation Common Stock,Finance,True,6225.0,,United States,Major Banks
CACC,Credit Acceptance Corporation Common Stock,Finance,True,6225.0,1992.0,United States,Finance: Consumer Services
CACI,CACI International Inc. Class A Common Stock,Technology,True,6225.0,,United States,EDP Services
CADE,Cadence Bank Common Stock,Finance,True,6225.0,,United States,Major Banks
CAG,ConAgra Brands Inc. Common Stock,Consumer Staples,True,6225.0,,United States,Packaged Foods
CAH,Cardinal Health Inc. Common Stock,Health Care,True,6225.0,,United States,Other Pharmaceuticals
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Discretionary,True,6225.0,1992.0,United States,Restaurants
CAL,Caleres Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Shoe Manufacturing
CALM,Cal-Maine Foods Inc. Common Stock,Consumer Staples,True,6225.0,1996.0,United States,Farming/Seeds/Milling
CAR,Avis Budget Group Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Rental/Leasing Companies
CARV,Carver Bancorp Inc. Common Stock,Finance,True,6225.0,,United States,Savings Institutions
CASH,Pathward Financial Inc. Common Stock,Finance,True,6225.0,1993.0,United States,Major Banks
CASI,CASI Pharmaceuticals Inc. Ordinary Shares,Health Care,True,6225.0,,United States,Biotechnology: Pharmaceutical Preparations
CASS,Cass Information Systems Inc Common Stock,Consumer Discretionary,True,6225.0,,United States,Business Services
CASY,Casey's General Stores Inc. Common Stock,Consumer Discretionary,True,6225.0,1983.0,United States,Retail-Auto Dealers and Gas Stations
CAT,Caterpillar Inc. Common Stock,Industrials,True,6225.0,,United States,Construction/Ag Equipment/Trucks
CATO,Cato Corporation (The) Class A Common Stock,Consumer Discretionary,True,6225.0,,United States,Clothing/Shoe/Accessory Stores
CATY,Cathay General Bancorp Common Stock,Finance,True,6225.0,,United States,Major Banks
CB,Chubb Limited  Common Stock,Finance,True,6225.0,,Switzerland,Property-Casualty Insurers
CBAN,Colony Bankcorp Inc. Common Stock,Finance,True,6225.0,,United States,Major Banks
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Discretionary,True,6225.0,1981.0,United States,Restaurants
CBSH,Commerce Bancshares Inc. Common Stock,Finance,True,6225.0,,United States,Major Banks
CBT,Cabot Corporation Common Stock,Industrials,True,6225.0,,United States,Major Chemicals
CBU,Community Financial System Inc. Common Stock,Finance,True,6225.0,,United States,Major Banks
CBZ,CBIZ Inc. Common Stock,Consumer Discretionary,True,6225.0,,United States,Business Services
CCBG,Capital City Bank Group Common Stock,Finance,True,6225.0,,United States,Major Banks
CCEL,Cryo-Cell International Inc. Common Stock,Health Care,True,6225.0,2022.0,United States,Misc Health and Biotechnology Services
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,Consumer Staples,True,6225.0,,United Kingdom,Beverages (Production/Distribution)
CCI,Crown Castle Inc. Common Stock,Real Estate,True,6225.0,,United States,Real Estate Investment Trusts
CCJ,Cameco Corporation Common Stock,Basic Materials,True,6225.0,1996.0,Canada,Other Metals and Minerals
CCK,Crown Holdings Inc.,Industrials,True,6225.0,,United States,Containers/Packaging
CCL,Carnival Corporation Common Stock,Consumer Discretionary,True,6225.0,1987.0,United States,Marine Transportation
